rows 130, cols 130
row (69)  ....#.XX.XX.X.XX..X...X.X.X#X....X..XX.XX..#.X.X.X....#...X..#X......X.#..*.X.X#..X.X...X.#X.X.XX...X..X..XX.#..X.X.X#X....X...X..
row (70)  ......XX.XX.X.XX..X...X.X.X#X#...X..XX.XX..XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X.X...X..X.X.XX...X..X..XX....X#X.X.X....X...X..
row (71)  #..#..XX.XX.X.XX..X...X.X.X.X....X..XX.XX..X.X.X.X........X..#X....#.X......X.X.X.X.X...X..X#X.XX...X..X..XX....X.X.X.X....X...X..
row (72)  .#.#..XX#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..X.X.X#X.....#..X...X...#..X......X.X.X.X#X.#.X..X.X.XX...X..X..XX....X.X.X.X....X...X..
row (73)  ...#..XX.#X.X.XX..X.#.X.X.X.X....X..XX.X#..X.X.X#X........X...X......X......X#XXXXXXXXXXXXXXXXXXXXXXXXXX..XX....X.X.X.X....X...X..
row (74)  ......XX..X.X#XX..X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X......X...X#X.X...X..X.X.XX...X..#..XX....X.X.X.X....X.#.X..
row (75)  ......XX..X.X.XX..X#X.X.X.X.X....X..XX.X...X.X.X.X........X...X....X.X......X...X.X.X...X..X.X.XX...X.....XX....X#X.X.X....X...X..
row (76)  ......XX..X.X.XX..X#X.X.X#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X...X..X.X.XX...X.....XX....X.X.X.X....X.#.X..
row (77)  ......XX..X.X.XX#.X.X.X.X...X#...X..XX.X...X.X.X.X..#.....X.#.X....X.X......X..#X.#.X...X..X.X.XX...X...#.XX....X.X.X.X#...X...X#.
row (78)  #....#XX..X.X.XX..X.X.X.X...XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#..X...X##.X..#X..X.X.XX.#.X.....XX....X.X.X.X....X...X..
row (79)  ......XX..X.X.XX..X.X.X.X...XX...X..XX.X.#.X.X.X.X....#...X..#X....X.X..X...X...X...X#..X..X.X#XX...X.....XX.#.#X.X.X.X....X...X..
row (80)  .##...XX..X#X.XX.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...X...X..X.X.XX...X.....XX.#..X.X.X.X....X#..X..
row (81)  #.....XX..X.X.XX....X.X.X...XX...X..XX.X...X.X.X.X........X.#.X....X#X..X#..X...#..#X...X..X.X.XX...X.....XX....X.X.X.X#..#X#..X..
row (82)  ......XX..X.X#XXXXXXXXX.X...XX...X..XX.X...X.X.X.X....#...X...X....X.X..X...X.......X.#.X..X.X.XX...X.....XX....X.X.X.X....X...X..
row (83)  ......XX..X.X..X....X.#.X...XX...X..XX.X...X.X.X.X........X...X....X.X..X...X.......X...X#.X.X.XX...X.....XX....X.X.X.X....X#..X..
row (84)  ...#.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X...X.X#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X.X.X....X...X#.
row (85)  .......X..X.X#.X....X...X...XX...X..X#.X...X.X...X........X...X...#X#X..X...X.......X...X..X.X.XX...X#....XX.#..#.X.X.X....X#..X..
row (86)  ...#..#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX....X.X..X...X.......X.#.X..X.X.XX...X..#..XX......X.X.X....X...X..
row (87)  .......#..X.X..X....X...X...XX...X..X#.X...X.X...X#..#....X...#....X#X..X...X.......X...X..X.X#XX...X.....XX.....#X.X.X....X...X..
row (88)  ......#...X.X..X....X...X...XX...X..X..X...X.X...X........X........XXXXXXXXXXXXXXXXXXX##XXXXXXXXXXXXXXXXXXXX......X.X.X..#.X..#X..
row (89)  ........#.X.X..X....X...X..#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..#X.....#X......X.X#XXXXXX...X..
row (90)  ..........X#X..X...#X...X...#X...X..X..X...X.X...X........X........XXX.#X...X...#...XX.....X.X.#X...X......X.....#X.X......#...X..
row (91)  ..........X.X..X...#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.......X........XXX..X...X.....#.XX.....X.X..X...X...#..X..#...X.X..........X..
row (92)  ..........X.X#.X#.......X....X...X.#X#.X#..X.X#..#........X........XXX..X...X.......XX.....X.X..X...X......X......X.X.......#..X..
row (93)  ..........X.X..X........X....X#..X..X..XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.XX.....X.X..X...X.....#XXXXXXXXXX....#.....X..
row (94)  .......#..X.X..X........X....X#..X..X..XX..X.X............X.#......XXX..X...X....X..XX..#..X.X#.X.#.X.............X.#........#.X..
row (95)  .........#X.X..X.#....##XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...X....X..XX.....X.X..X...X.............X............X..
row (96)  ..........X.X..X.............X...X..X..XX..X.X............X........XXX..#...X....X..XX.....X.X.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..
row (97)  ..........X.X..X.......#.....X...X##X#.XX..X.X............X........XXX......X....X..XX#..#.X.X.#....X.#......#....X............#..
row (98)  ..........X.X..X.............X...X..X.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX........#....X...............
row (99)  ..........X.X..X.............X...X..X#..X.#X.X............X........XXX......X....X..XX....#X.X#.....#.......#...#.X.........#.....
row (100) ..........X.X..X...#..#......X...X..X...X..X.X............X........XXX......X....X..XX.....X.X.........#..........X...............
row (101) ..........X.X.#X.............X..#XXXXXXXXXXXXXXXXXXXXXXXXXX....#...XXX......X.#..X..XX....#X#X.................#..X#.............#
row (102) ..........X.X..X#..#......#..X..XXXXXXXXXXXXXXXXXXXX#.....#.....#..XXX......X..#.X#.XX.....X.X....................X.........#.....
row (103) .....#....X.X..X.............X.#X...X...X..X.X.....X...............XXX..#...X.#..X..XX#....X.X....#...............X...#...........
row (104) ......#...X.X..X...........##XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX....X..XX.....X.X....................X#..............
row (105) ..........X.X..X................X...X...X..X.X.....X...............XXX......###..X..XX.....X.X................#...X...............
row (106) #.........X.X..X................X..#X...X.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX......#.......#
row (107) .....#....X.X..X.........#.....#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...........X..XX.....X#X....................#...#...........
row (108) .......#..X.X.#X....................X..#X....X.....X.........#.#..##XX..........#X..XX.#...X.X...........#.....................#..
row (109) .....#....X.X..X....#...............X.#.X....X.#...X...........XXX#..#...........X..XX.....X.X..##.....#..#...................#...
row (110) ........#.X.X..X.........#..........X...X.#..X.....X..#........X.X...............X..XX.....X.X..#....................#............
row (111) .........#XXXXXX...#....#...........X...X#...X....#X.......#...X.X.........#....#X..XX.....X.X....................................
row (112) ...........#X..#............#.......X...X....X.#...X...........X.X...........#.#.X#.XX.....X.X.........#.#........................
row (113) .#..........X.#..#..#...............X#.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..........##.............#..........
row (114) ...........#X......................#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX..XX.....X.#....................................
row (115) ..#.........X................#...........#...X..#..X...........X.X...............#.#XXXXXXXX......................................
row (116) ............X................................X.....X........#..X.X.............#.....X.....#.....##.................#.............
row (117) ....#.......X.#............................##XXXXXXX...........X.X...................X.#.....#....#..........#....................
row (118) ............X.....#..............#........#........#...........X.X......#............X.#....................#.....................
row (119) ....#.......X...........................#......................X.X...................X........#.............#...................#.
row (120) .........#..X........#...#.............................#.......X.X...##..#...........X....................................#.#.....
row (121) ............X...............##..............#................#.X#X...................X...................#....................#...
row (122) ............X................#.#...............................X.X...................X##.....#..................................#.
row (123) ............X..................................................X.X...........#.......X..........#...#.................#...........
row (124) ............X...........#...........#..................#......#XXXXXXXXXXXXXXXXXXXXXXX............................................
row (125) .....#......X................#......#................#...........X#..................#.................................#..........
row (126) #..........#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.............#...................#...#...............#..........
row (127) ....................#............................................#...............#........................##....#..#..............
row (128) .#.....#............................#...............#.#.#..........................#.........#..............#.....................
row (129) .............................#....................................#..#......#........................#............................

guard visited 5461 distinct spots finished at (0, 105)


solved in 398ms
0sec
